"ID{id,int}(idx)","(str,name)","(str,desc)","(str,summary)","{type,int}(num,type)","{repeatable, bool}(bool, repeatable)","{weekDay,int}","NPC(num, finishNPC)","NPC(num, acceptNPC)","(fun, taskHelp)","{triggerType,str}","(fun, openConditions)","{acceptConditions,json_conditions}(json,acceptConditions)","{finishConditions,json_conditions}(json,finishConditions)","{checkOnAppear, bool}","{behaviors,json_funcs}(json,behaviors)",
55000001,1,1,2,3,1,,,,,HeroLevel,,"[{property=plv,param=0,operator=gte,value=1}]","[{property=heroLvUpTimes,param=0,operator=gte,value=2}]",0,"[{type:4,param:80400002,value:100}]",
55000002,2,2,15,3,1,,,,,PlayerLevel,,"[{property=plv,param=0,operator=gte,value=2}]","[{property=plv,param=0,operator=gte,value=15}]",1,"[{type:4,param:80400001,value:5000}]",
55000003,4,4,220000065,3,1,,,,,KillMonster,,"[{property=plv,param=0,operator=gte,value=3}]","[{property=killMonster,param=22000006,operator=gte,value=5}]",0,"[{type:1,param:56000003,value:5}]",
55000004,5,5,5,3,1,,,,,KillMonster,,"[{property=plv,param=0,operator=gte,value=1}]","[{property=killMonsterTimes,param=0,operator=gte,value=5}]",0,"[{type:4,param:80400001,value:5000}]",
55000005,6,6,500100015,3,1,,,,,PassDup,,"[{property=plv,param=0,operator=gte,value=2}]","[{property=passDup,param=50010001,operator=gte,value=5}]",0,"[{type:1,param:56000003,value:5}]",
55000006,7,7,5,3,1,,,,,PassDup,,"[{property=plv,param=0,operator=gte,value=3}]","[{property=passDupTimes,param=0,operator=gte,value=5}]",0,"[{type:2,param:21000001,value:1}]",
55000007,8,8,15,3,1,,,,,HeroLevel,,"[{property=plv,param=0,operator=gte,value=1}]","[{property=heroLv,param=21000001,operator=gte,value=15}]",1,"[{type:4,param:80400002,value:100}]",
55000008,9,9,5,3,1,,,,,HeroLevel,,"[{property=plv,param=0,operator=gte,value=2}]","[{property=heroLvUpTimes,param=0,operator=gte,value=5}]",0,"[{type:4,param:80400001,value:5000}]",
55000009,1,1,6,4,1,1,,,,HeroLevel,,"[{property=plv,param=0,operator=gte,value=3}]","[{property=heroLvUpTimes,param=0,operator=gte,value=6}]",0,"[{type:1,param:56000003,value:5}]",
55000010,2,2,3,4,1,2,,,,HeroLevel,,"[{property=plv,param=0,operator=gte,value=1}]","[{property=heroLvUpTimes,param=0,operator=gte,value=3}]",0,"[{type:4,param:80400002,value:100}]",
55000011,3,3,20,4,1,3,,,,PlayerLevel,,"[{property=plv,param=0,operator=gte,value=2}]","[{property=plv,param=0,operator=gte,value=20}]",1,"[{type:4,param:80400001,value:5000}]",
55000012,4,4,220000055,4,1,4,,,,KillMonster,,"[{property=plv,param=0,operator=gte,value=3}]","[{property=killMonster,param=22000005,operator=gte,value=5}]",0,"[{type:1,param:56000003,value:5}]",
55000013,5,5,6,4,1,5,,,,KillMonster,,"[{property=plv,param=0,operator=gte,value=1}]","[{property=killMonsterTimes,param=0,operator=gte,value=6}]",0,"[{type:4,param:80400001,value:5000}]",
55000014,6,6,500100025,4,1,6,,,,PassDup,,"[{property=plv,param=0,operator=gte,value=2}]","[{property=passDup,param=50010002,operator=gte,value=5}]",0,"[{type:1,param:56000003,value:5}]",
55000015,7,7,6,4,1,0,,,,PassDup,,"[{property=plv,param=0,operator=gte,value=3}]","[{property=passDupTimes,param=0,operator=gte,value=6}]",0,"[{type:2,param:21000001,value:1}]",
